"iso_code","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units",,,100.174634428393,,
"AUS","Australia","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units",,,100.166291609795,,
"AUS","Australia","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units",,,98.6346393499845,,
"AUS","Australia","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units",,,97.7898977023878,,
"AUS","Australia","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-05","May-2020","IDX","Index","0","Units",,,97.4139991021805,,
"AUS","Australia","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units",,,97.9951596964896,,
"AUS","Australia","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units",,,98.4887651730858,,
"AUS","Australia","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units",,,99.037693295023,,
"AUS","Australia","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units",,,99.1956872966426,,
"AUS","Australia","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-10","Oct-2020","IDX","Index","0","Units",,,99.4186414756741,,
"AUS","Australia","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-11","Nov-2020","IDX","Index","0","Units",,,99.6160469280265,,
"AUS","Australia","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-12","Dec-2020","IDX","Index","0","Units",,,99.7515741479985,,
"AUS","Australia","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2021-01","Jan-21","IDX","Index","0","Units",,,99.7727796779733,,
"AUT","Austria","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units",,,99.4924915566345,,
"AUT","Austria","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units",,,99.3754722884428,,
"AUT","Austria","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units",,,97.9750455412876,,
