iso_code,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,stringency_index,population,median_age,gdp_per_capita,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,oecd_mei_index
AUS,Australia,2020-05,7202.0,436.0,441.4280000000002,103.0,10.0,17.433000000000003,282.433,17.097999999999995,17.309999999999995,4.039,0.38999999999999996,0.6850000000000003,0.8125806451612904,67.35225806451615,25499881.0,37.9,44648.71,13.0,16.5,3.84,83.44,0.944,97.4139991021805
AUS,Australia,2020-06,7920.0,718.0,542.855,104.0,1.0,1.144,310.59,28.158000000000005,21.287,4.078,0.039,0.041999999999999996,1.3953333333333333,55.01433333333333,25499881.0,37.9,44648.71,13.0,16.5,3.84,83.44,0.944,97.9951596964896
AUS,Australia,2020-07,17280.0,9360.0,8106.57,201.0,97.0,73.85900000000001,677.65,367.063,317.90700000000004,7.882,3.8019999999999996,2.895,1.5183870967741935,69.81935483870967,25499881.0,37.9,44648.71,13.0,16.5,3.84,83.44,0.944,98.4887651730858
AUS,Australia,2020-08,25819.0,8539.0,9721.712,657.0,456.0,425.573,1012.515,334.862,381.2439999999999,25.765,17.884999999999998,16.688,0.7896774193548387,75.10193548387099,25499881.0,37.9,44648.71,13.0,16.5,3.84,83.44,0.944,99.037693295023
AUS,Australia,2020-09,27096.0,1277.0,1510.43,888.0,231.0,273.999,1062.593,50.074999999999996,59.232000000000006,34.824,9.059000000000001,10.744000000000002,0.5916666666666668,74.72000000000001,25499881.0,37.9,44648.71,13.0,16.5,3.84,83.44,0.944,99.1956872966426
AUS,Australia,2020-10,27595.0,499.0,515.9960000000001,907.0,19.0,29.000000000000014,1082.162,19.568999999999996,20.233999999999995,35.569,0.743,1.136,0.8812903225806452,65.6696774193548,25499881.0,37.9,44648.71,13.0,16.5,3.84,83.44,0.944,99.4186414756741
AUS,Australia,2020-11,27912.0,317.0,320.28499999999997,908.0,1.0,0.858,1094.593,12.431999999999997,12.563,35.608,0.039,0.033999999999999996,1.0023333333333333,52.76066666666667,25499881.0,37.9,44648.71,13.0,16.5,3.84,83.44,0.944,99.6160469280265
AUS,Australia,2020-12,28425.0,513.0,474.14199999999994,909.0,1.0,1.43,1114.711,20.117999999999995,18.592999999999996,35.647,0.039,0.05999999999999999,1.159032258064516,65.99322580645158,25499881.0,37.9,44648.71,13.0,16.5,3.84,83.44,0.944,99.7515741479985
AUS,Australia,2021-01,28818.0,393.0,441.71600000000007,909.0,0.0,0.286,1130.123,15.409999999999997,17.321999999999992,35.647,0.0,0.012,0.8016129032258065,60.67516129032255,25499881.0,37.9,44648.71,13.0,16.5,3.84,83.44,0.944,99.7727796779733
AUT,Austria,2020-05,16731.0,1279.0,1350.9989999999998,668.0,84.0,101.571,1857.679,142.01199999999997,150.00400000000002,74.169,9.325000000000001,11.277000000000003,0.8080645161290323,60.60193548387096,9006400.0,44.4,45436.686,28.4,30.9,7.37,81.54,0.922,95.520962457186
AUT,Austria,2020-06,17766.0,1035.0,969.2850000000001,705.0,37.0,42.568,1972.597,114.91699999999999,107.623,78.278,4.107000000000001,4.723000000000001,1.1053333333333335,47.74466666666669,9006400.0,44.4,45436.686,28.4,30.9,7.37,81.54,0.922,97.1793996443094
AUT,Austria,2020-07,21130.0,3364.0,3115.5719999999997,718.0,13.0,14.716000000000003,2346.109,373.5129999999999,345.92699999999996,79.721,1.443,1.6350000000000002,1.2061290322580642,38.68258064516132,9006400.0,44.4,45436.686,28.4,30.9,7.37,81.54,0.922,97.7897607335543
AUT,Austria,2020-08,27438.0,6308.0,5899.859,733.0,15.0,18.425,3046.5,700.393,655.074,81.387,1.665,2.0419999999999994,1.203548387096774,35.190000000000026,9006400.0,44.4,45436.686,28.4,30.9,7.37,81.54,0.922,98.1021993385272
